Jogador;Time;#;Nação;Pos.;Idade
Éder;Criciúma;23;ITA;FW;37
Yannick Bolasie;Criciúma;11;COD;FW;34
Renato Kayser;Criciúma;79;BRA;FW;28
Arthur;Criciúma;35;BRA;FW;31
Marquinhos Gabriel;Criciúma;10;BRA;AM;33
Matheusinho;Criciúma;17;BRA;AM;26
Higor Meritão;Criciúma;5;BRA;LM;29
Barreto;Criciúma;88;BRA;CM;28
Fellipe Mateus;Criciúma;7;BRA;RM;33
Miguel Trauco;Criciúma;14;PER;RM;31
Marcelo Hermes;Criciúma;22;BRA;LB;29
Walisson Maia;Criciúma;33;BRA;CB;32
Rodrigo Fagundes;Criciúma;3;BRA;CB;37
Claudinho;Criciúma;27;BRA;RB;23
Yerson Candelo;Criciúma;19;COL;RB;32
Alisson;Criciúma;25;BRA;GK;28
Gilberto;Juventude;9;BRA;FW;34
Erick;Juventude;7;BRA;FW;27
Jean Carlos Vicente;Juventude;20;BRA;FW;32
Nenê;Juventude;10;BRA;LM;42
Marcelinho;Juventude;11;BRA;LM;21
Caíque de Jesus Gonçalves;Juventude;95;BRA;CM;28
Thiaguinho;Juventude;8;BRA;CM;27
Jadson;Juventude;16;BRA;CM;30
Lucas Barbosa;Juventude;21;BRA;RM;23
Rildo;Juventude;37;BRA;RM;24
Gabriel Inocêncio;Juventude;12;BRA;LB;29
Zé Marcos;Juventude;3;BRA;CB;26
Rodrigo Sam;Juventude;34;BRA;CB;28
João Lucas;Juventude;2;BRA;RB;26
Gabriel;Juventude;1;BRA;GK;31
Lucca Holanda;Internacional;45;BRA;FW;21
Wesley;Internacional;21;BRA;FW;25
Rafael Borré;Internacional;19;COL;FW;28
Wanderson;Internacional;11;BRA;LM;29
Lucas Alario;Internacional;31;ARG;LM;31
Bruno Gomes;Internacional;15;BRA;CM;23
Bruno Henrique;Internacional;8;BRA;CM;34
Thiago Maia;Internacional;29;BRA;CM;27
Gabriel Mercado;Internacional;25;ARG;CB;37
Mauricio;Internacional;27;BRA;RM;22
Gustavo Prado;Internacional;47;BRA;RM;18
Renê;Internacional;6;BRA;LB;31
Fernando;Internacional;5;BRA;CM,CB;36
Vitão;Internacional;44;BRA;CB;24
Fabricio Bustos;Internacional;16;ARG;RB;27
Sergio Rochet;Internacional;1;URU;GK;31
Oscar Estupiñan;Bahia;29;COL;FW;27
Cauly Oliveira Souza;Bahia;8;BRA;FW;28
Thaciano;Bahia;16;BRA;FW;28
Everaldo Stum;Bahia;9;BRA;FW;32
Jean Lucas;Bahia;6;BRA;LM;25
Caio Alexandre;Bahia;19;BRA;CM;25
Biel;Bahia;11;BRA;CM;23
Rezende;Bahia;5;BRA;CM;29
Everton Ribeiro;Bahia;10;BRA;RM;35
Carlos de Pena;Bahia;14;URU;RM;32
Luciano Juba;Bahia;46;BRA;LB;24
Víctor Cuesta;Bahia;15;ARG;CB;35
Kanu;Bahia;4;BRA;CB;27
Santiago Arias;Bahia;13;COL;RB;32
Marcos Felipe;Bahia;22;BRA;GK;28
Pablo;Athletico Paranaense;92;BRA;FW;31
